"country_id","country_name","continent","population_millions","area_km2","official_language"
1,"India","Asia","1410.00",3287263,"Hindi"
2,"USA","North America","331.00",9833517,"English"
3,"Brazil","South America","213.00",8515767,"Portuguese"
4,"Germany","Europe","83.00",357022,"German"
5,"Nigeria","Africa","206.00",923768,"English"
6,"Japan","Asia","125.00",377975,"Japanese"
7,"Russia","Europe/Asia","146.00",17098242,"Russian"
8,"Australia","Oceania","25.70",7692024,"English"
9,"Canada","North America","38.00",9984670,"English/French"
10,"France","Europe","67.00",551695,"French"
